CNVD-2009-0771, ,Nokia Phoenix Service Software ActiveX控件多个缓冲区溢出漏洞,2009/2/10,高,(暂无),Nokia Phoenix Service Software是用于刷机诺基亚手机的软件。Nokia Phoenix Service Software所提供的cmnsignalanalyzerfn.dll（{F85B4A10-B530-4D68-A714-7415838FD174}）和cmnsignalgeneratorfn.dll（{929A0D77-044A-497F-8FDF-8EDE81F6251A}）库没有正确地验证用户输入参数，如果用户受骗访问了恶意网页并向有漏洞的ActiveX控件传送了超长参数的话，就可以触发缓冲区溢出，导致在用户浏览器会话中执行任意代码。,Null,Nokia-----目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://www.nokia.com,Null
CNVD-2003-0676, ,PostNuke Phoenix Member_List模块SQL注入漏洞,2003/3/7,中,(暂无),PostNuke是一款类似PHP-Nuke的PHP语言编写流行的系统构建程序，可以运行在Unix和Linux操作系统下。PostNuke Phoenix的Members_List模块对用户提交的输入缺少充分过滤，远程攻击者可以利用这个漏洞破坏数据库或获得敏感信息。攻击者提交包含恶意SQL命令的查询给Members_List模块，可导致修改原来的SQL逻辑，使的数据库中的敏感信息泄露，或数据库被破坏。,Null,PostNuke--------目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：PostNuke Patch 723_sec_20030228.ziphttp://download.hostnuke.com/pafiledb.php?action=file&id=17,Null
CNVD-2003-0674, ,PostNuke Phoenix主题处理远程代码执行漏洞,2003/3/7,高,(暂无),PostNuke是一款类似PHP-Nuke的PHP语言编写流行的系统构建程序，可以运行在Unix和Linux操作系统下。PostNuke Phoenix的主题(theme)处理引擎对用户提交输入缺少充分过滤，远程攻击者可以利用这个漏洞结合目录遍历方法在系统上执行任意命令。目前没有详细漏洞细节提供。,Null,PostNuke--------目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：PostNuke Patch 723_sec_20030228.ziphttp://download.hostnuke.com/pafiledb.php?action=file&id=17,Null
CNVD-2009-2544, ,LevelOne AMG-2000内部代理Host:头绕过安全限制漏洞,2009/4/29,高,(暂无),AMG-2000是专为中小型网络部署和管理设计的AP管理网关。AMG-2000使用了一个内部Squid代理限制对无线LAN或Internet的访问，该代理默认运行在2128端口上。如果远程攻击者向代理发送了包含有特制Host:头和Request-URI的HTTP GET请求的话，就可以绕过认证访问管理接口。,Null,Level-One---------目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://global.level1.com/products2.php?Id=821,Null
CNVD-2009-1845, ,Squid代理缓存ICAP适配拒绝服务漏洞,2009/3/27,中,(暂无),Squid是一个高效的Web缓存及代理程序，最初是为Unix平台开发的，现在也被移植到Linux和大多数的Unix类系统中，最新的Squid可以运行在Windows平台下。Squid的ICAP实现在从ICAP服务器读取数据之前没有正确地检查body-pipes缓冲区大小。如果客户端没有从开放连接读取数据（如用户没有在IE中确认浏览器的下载消息对话框），squid就会一直从ICAP服务器将数据读取到body pipe，而已没有数据可传送给客户端。因此body pipes缓冲区会一直增加，squid可能会耗尽最多为用户下载大小的内存。,Null,Squid-----目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://www.squid-cache.org,Null
CNVD-2004-3480, ,ChangePassword本地特权提升漏洞,2004/12/16,中,(暂无),ChangePassword是一款YP/Samba/Squid等应用程序的密码更改工具。changepassword.cgi不正确验证用户提供的环境变量，本地攻击者可以利用这个漏洞进行特权提升。D. J. Bernstein报告本地用户可以调用changepassword.cgi进行特权提升攻击，changepassword.cgi默认以SETUID ROOT属性安装，由于没有充分验证用户提供的环境变量，本地用户可以设置PATH变量指向特别构建的'make'版本，然后通过环境变量直接提交POST请求而以root用户特权执行任意make应用程序。,Null,ChangePassword--------------目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://changepassword.sourceforge.net/,Null
CNVD-2004-0825, ,SquidGaurd NULL URL字符导致未授权访问漏洞,2004/3/19,中,(暂无),"SquidGaurd可结合squid对URI进行访问控制。SquidGaurd在处理NULL URL字符时存在问题，远程攻击者可以利用这个漏洞绕过访问控制，未授权访问资源。如果""%00""出现在URL中，SquidGaurd在解码时会插入NUL字符，造成匹配不正确，而使用户请求不被拒绝，成功绕过限制规则。",Null,squidGuard----------目前厂商还没有提供补丁或者升级程序，我们建议使用此软件的用户随时关注厂商的主页以获取最新版本：http://www.squidguard.org/,Null
CNVD-2002-3015, ,Squid多个远程代码执行漏洞,2002/7/3,高,(暂无),Squid是一款免费开放源代码WEB代理软件，可使用在Unix、Linux、Microsoft Windows操作系统下。Squid存在多个漏洞，远程攻击者利用这些漏洞在系统上以Squid进程权限执行任意代码。没有更详细具体技术细节。,Null,Conectiva---------Conectiva已经为此发布了一个安全公告（CLA-2002:506）以及相应补丁:CLA-2002:506：squid链接：http://distro.conectiva.com.br/atualizacoes/?id=a&anuncio=000506补丁下载：ftp://atualizacoes.conectiva.com.br/6.0/RPMS/squid-2.4.7-1U60_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/6.0/SRPMS/squid-2.4.7-1U60_3cl.src.rpmftp://atualizacoes.conectiva.com.br/7.0/RPMS/squid-2.4.7-1U70_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/7.0/RPMS/squid-auth-2.4.7-1U70_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/7.0/RPMS/squid-doc-2.4.7-1U70_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/7.0/RPMS/squid-templates-2.4.7-1U70_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/7.0/SRPMS/squid-2.4.7-1U70_3cl.src.rpmftp://atualizacoes.conectiva.com.br/8/RPMS/squid-2.4.7-1U8_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/8/RPMS/squid-auth-2.4.7-1U8_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/8/RPMS/squid-doc-2.4.7-1U8_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/8/RPMS/squid-templates-2.4.7-1U8_3cl.i386.rpmftp://atualizacoes.conectiva.com.br/8/SRPMS/squid-2.4.7-1U8_3cl.src.rpmConectiva Linux version 6.0及以上版本的用户可以使用apt进行RPM包的更新：- 把以下的文本行加入到/etc/apt/sources.list文件中：rpm [cncbr] ftp://atualizacoes.conectiva.com.br 6.0/conectiva updates(如果你不是使用6.0版本，用合适的版本号代替上面的6.0)- 执行: apt-get update- 更新以后，再执行: apt-get upgradeRedHat------RedHat已经为此发布了一个安全公告（RHSA-2002:051-16）以及相应补丁:RHSA-2002:051-16：New Squid packages available链接：https://www.redhat.com/support/errata/RHSA-2002-051.html补丁下载：Red Hat Linux 6.2:SRPMS:ftp://updates.redhat.com/6.2/en/os/SRPMS/squid-2.4.STABLE6-6.6.2.src.rpmalpha:ftp://updates.redhat.com/6.2/en/os/alpha/squid-2.4.STABLE6-6.6.2.alpha.rpmi386:ftp://updates.redhat.com/6.2/en/os/i386/squid-2.4.STABLE6-6.6.2.i386.rpmsparc:ftp://updates.redhat.com/6.2/en/os/sparc/squid-2.4.STABLE6-6.6.2.sparc.rpmRed Hat Linux 7.0:SRPMS:ftp://updates.redhat.com/7.0/en/os/SRPMS/squid-2.4.STABLE6-6.7.0.src.rpmalpha:ftp://updates.redhat.com/7.0/en/os/alpha/squid-2.4.STABLE6-6.7.0.alpha.rpmi386:ftp://updates.redhat.com/7.0/en/os/i386/squid-2.4.STABLE6-6.7.0.i386.rpmRed Hat Linux 7.1:SRPMS:ftp://updates.redhat.com/7.1/en/os/SRPMS/squid-2.4.STABLE6-6.7.1.src.rpmalpha:ftp://updates.redhat.com/7.1/en/os/alpha/squid-2.4.STABLE6-6.7.1.alpha.rpmi386:ftp://updates.redhat.com/7.1/en/os/i386/squid-2.4.STABLE6-6.7.1.i386.rpmia64:ftp://updates.redhat.com/7.1/en/os/ia64/squid-2.4.STABLE6-6.7.1.ia64.rpmRed Hat Linux 7.2:SRPMS:ftp://updates.redhat.com/7.2/en/os/SRPMS/squid-2.4.STABLE6-6.7.3.src.rpmi386:ftp://updates.redhat.com/7.2/en/os/i386/squid-2.4.STABLE6-6.7.3.i386.rpmia64:ftp://updates.redhat.com/7.2/en/os/ia64/squid-2.4.STABLE6-6.7.3.ia64.rpmRed Hat Linux 7.3:SRPMS:ftp://updates.redhat.com/7.3/en/os/SRPMS/squid-2.4.STABLE6-6.7.3.src.rpmi386:ftp://updates.redhat.com/7.3/en/os/i386/squid-2.4.STABLE6-6.7.3.i386.rpm可使用下列命令安装补丁：rpm -Fvh [文件名]National Science Foundation---------------------------目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：National Science Foundation Upgrade squid-2.4.STABLE7-src.tar.gzftp://ftp.squid-cache.org/pub/squid-2/STABLE/squid-2.4.STABLE7-src.tar.gz,Null
CNVD-2003-2736, ,Stunnel泄露文件描述符漏洞,2003/9/3,高,(暂无),Stunnel是一款允许用户加密任意TCP会话连接的程序，能使非SSL加密应用程序和服务使用SSL加密。Stunnel存在文件描述符泄露问题，本地攻击者可以利用这个漏洞劫持Stunnel服务程序，可导致未授权连接加密通信等攻击。问题是由于没有使用CLOEXEC标记的fcntl调用来防止特权文件描述符泄露，通过listen()调用返回的文件描述符可被非特权进程使用。如果Stunnel可被用于通过任何本地程序如telnet等提供SHELL访问，那么用户的SHELL也会拥有被泄露的listen描述符，这表示任何N能通过SHELL访问的用户可以劫持stunnel服务程序。结果可导致非特权攻击者利用这个漏洞控制这个服务，收集密码等敏感信息，或者重定向服务到不同机器中。另外其他文件描述符也存在这个问题。,Null,Stunnel-------目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：Stunnel Upgrade stunnel-4.04.tar.gzhttp://www.stunnel.org/download/stunnel/src/stunnel-4.04.tar.gz,Null
CNVD-2011-5167,Null,Apache ActiveMQ Failover机制远程拒绝服务漏洞,2011/12/7,中,Apache Software Foundation Apache ActiveMQ 5.5   ;   Apache Software Foundation Apache ActiveMQ 5.4   ;   Apache Software Foundation Apache ActiveMQ 5.2   ;   Apache Software Foundation Apache ActiveMQ 5.3   ;   Apache Software Foundation Apache ActiveMQ 5.4 SNAPSHOT   ;   Apache Software Foundation Apache ActiveMQ 5.3.1   ;   ,Apache ActiveMQ是一款开源消息总线，支持JMS1.1和J2EE 1.4规范的JMS Provider实现。Apache ActiveMQ处理openwire连接请求时failover机制存在错误，可被利用触发异常并使broker服务崩溃。攻击者使用如下连接字符串failover:tcp://<IP>:61616提交多个ActiveMQ openwire连接请求，由于'failure'机制，即使合法会话没有创建，所有TCP链接也会保持活跃状态，大量的类似请求可导致连接系统崩溃。,http://secunia.com/advisories/47112/,用户可参考如下供应商提供的安全公告获得补丁信息：https://issues.apache.org/jira/browse/AMQ-3294,Apache ActiveMQ Failover机制远程拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/6136
CNVD-2010-0737,Null,Apache ActiveMQ 'admin/queueBrowse'跨站脚本漏洞,2010/4/30,低,Apache Software Foundation Apache ActiveMQ 5.3   ;   Apache Software Foundation Apache ActiveMQ 5.3.1   ;   ,"Apache ActiveMQ是一款开源消息总线，支持JMS1.1和J2EE 1.4规范的JMS Provider实现。Apache ActiveMQ 'admin/queueBrowse'脚本没有正确过滤用户提交给""feedType""变量的输入，成功利用漏洞可以窃取如用于验证的COOKIE信息，或者获取或修改敏感数据。",https://issues.apache.org/activemq/browse/AMQ-2714,Apache ActiveMQ 5.4 SNAPSHOT已经修复此漏洞，建议用户下载使用：https://issues.apache.org/activemq/secure/attachment/19241/AMQ-2714.zip,Apache ActiveMQ 'admin/queueBrowse'跨站脚本补丁:http://www.cnvd.org.cn/patchInfo/show/352
CNVD-2010-0679,Null,Apache ActiveMQ源代码信息泄漏漏洞,2010/4/23,低,Apache Software Foundation Apache ActiveMQ 5.2   ;   Apache Software Foundation Apache ActiveMQ 5.3   ;   Apache Software Foundation Apache ActiveMQ 5.3.1   ;   ,Apache ActiveMQ是一款开源消息总线，支持JMS1.1和J2EE 1.4规范的JMS Provider实现。Apache ActiveMQ存在输入验证错误，在提交的URL中，在端口号后增加'//'字符并请求对应脚本，可泄漏JSP页面源代码信息。,http://www.securityfocus.com/archive/1/510896,Apache Software Foundation Apache ActiveMQ 5.4已经修复此漏洞，建议用户下载使用：https://issues.apache.org/activemq/browse/AMQ-2700,Apache ActiveMQ源代码信息泄漏补丁:http://www.cnvd.org.cn/patchInfo/show/321
CNVD-2014-03346,Null,Red Hat sos GRUB Bootloader密码信息泄露漏洞,2014/5/30,低,Red Hat sos   ;   ,Red Hat是一款基于linux内核的操作系统。Red Hat sos包2.2-29之前版本中的sosreport实用工具中存在漏洞，漏洞是由于创建调试信息的存档时Kickstart配置文件（/root/anaconda-ks.cfg）中未删除root密码信息。本地攻击者可以利用漏洞可获取敏感信息。,http://rhn.redhat.com/errata/RHSA-2012-0958.html,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://rhn.redhat.com/errata/RHSA-2012-0958.html,Red Hat sos GRUB Bootloader密码信息泄露漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/45996
CNVD-2000-1520,Null,CNVD-2000-1520,2000/12/19,中,(暂无),Anaconda Foundation Directory 的apexec.pl中的目录遍历漏洞导致远程攻击者可以通过“..”攻击来阅读任意文件。,http://archives.neohapsis.com/archives/bugtraq/2000-10/0210.html#,,Null
CNVD-2015-02657,Null,Apache HTTP Server 'protocol.c'远程拒绝服务漏洞,2015/4/22,中,Apache HTTP Server 2.2.29   ;   Apache HTTP Server 2.4.12   ;   ,Apache HTTP Server是Apache软件基金会的一个开放源代码的网页服务器。Apache HTTP Server 2.2.29/2.4.12在实现上存在空指针间接引用漏洞。允许攻击者利用此漏洞使应用程序崩溃，导致拒绝服务。,http://www.securityfocus.com/bid/74158/,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://httpd.apache.org/,Apache HTTP Server 'protocol.c'远程拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/57646
CNVD-2015-00395,Null,Apache HTTP Server 'mod_remoteip.c' IP地址伪造漏洞,2015/1/19,中,Apache HTTP Server   ;   ,Apache HTTP Server是一款流行的WEB服务程序。Apache HTTP Server 'mod_remoteip.c'存在IP地址伪造漏洞，允许攻击者利用漏洞绕过安全限制，进行欺骗等攻击。,http://www.securityfocus.com/bid/72053/,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://httpd.apache.org/download.cgi,Apache HTTP Server 'mod_remoteip.c' IP地址伪造漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/54101
CNVD-2014-08619,Null,Apache HTTP Server 'LuaAuthzProvider'未授权访问漏洞,2014/12/2,中,Apache HTTP Server   ;   ,Apache HTTP Server是Apache软件基金会的一个开放源码的网页服务器。Apache HTTP Server 'LuaAuthzProvider'存在未授权访问漏洞，攻击者可以利用这个漏洞来获得敏感信息。,http://www.securityfocus.com/bid/71353,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://httpd.apache.org/,Apache HTTP Server 'LuaAuthzProvider'未授权访问漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/52326
CNVD-2013-11959,Null,Apache HTTP Server suEXEC符号链接任意文件访问漏洞,2013/8/9,高,Apache Software Foundation HTTP Server 2.2.22   ;   ,Apache HTTP Server是一款开源的WEB服务程序。Apache HTTP Server包含的suEXEC会不安全创建临时文件，允许攻击者利用漏洞通过符号链接针对.htaccess文件进行攻击，可用于访问任意文件。,http://seclists.org/bugtraq/2013/Aug/52 ,目前没有详细解决方案提供：http://httpd.apache.org/,Null
CNVD-2012-9485,Null,Apache 'mod-rpaf'模块拒绝服务漏洞,2012/8/21,中,(暂无),Apache HTTP Server（简称Apache）是Apache软件基金会的一个开放源码的网页服务器，可以在大多数计算机操作系统中运行，由于其多平台和安全性被广泛使用，是最流行的Web服务器端软件之一。Apache 'mod-rpaf'模块在实现上存在拒绝服务漏洞，成功利用可造成拒绝服务。,http://www.securityfocus.com/bid/55154,目前厂商已经发布了升级补丁以修复这个安全问题，请到厂商的主页下载：http://www.debian.org/security/,Apache 'mod-rpaf'模块拒绝服务漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/43611
CNVD-2011-3324,Null,Apache httpd远程拒绝服务漏洞,2011/8/24,中,Apache HTTP Server   ;   ,Apache是一款Web服务器软件。Apache httpd存在远程拒绝服务漏洞。攻击者可利用此漏洞导致Apache服务器无响应从而拒绝服务。,http://seclists.org/fulldisclosure/2011/Aug/att-175/killapache_pl.bin,,Null
CNVD-2011-2848,Null,Apache 'mod_authnz_external'模块SQL注入漏洞,2011/7/26,高,Nathan Neulinger mod_authnz_external 3.2.4   ;   Debian Linux 6.0x   ;   ,"mod_authnz_external模块是构建Apache HTTP Daemon的自定义基本验证系统的工具。Apache ""mod_authnz_external""模块存在SQL注入漏洞。由于该模块在用于SQL查询之前对用户提供的数据缺少过滤，远程攻击者可利用此漏洞控制应用程序，访问或修改数据。",http://www.securityfocus.com/bid/48653/info,用户可参考如下供应商提供的安全公告获得补丁信息：http://code.google.com/p/mod-auth-external/issues/detail?id=5,Apache 'mod_authnz_external'模块SQL注入漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/4536
CNVD-2016-08685,Null,App Container docker2aci目录遍历漏洞,2016/10/12,中,docker2aci docker2aci   ;   ,docker2aci是一套用于将Docker（基于Go语言开发的跨平台发布应用的技术）镜像转换ACIs格式的工具。docker2aci中存在目录遍历漏洞。攻击者可借助目录遍历字符‘..’利用该漏洞读取应用程序上下文中的任意文件。,http://www.securityfocus.com/bid/93194,用户可参考如下厂商提供的安全补丁以修复该漏洞：https://github.com/appc/docker2aci/,App Container docker2aci目录遍历漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/82200
CNVD-2016-07092,Null,Docker本地拒绝服务漏洞（CNVD-2016-07092）,2016/9/2,低,Docker Docker 1.12   ;   ,Docker是美国Docker公司的一款开源的应用容器引擎，它支持在Linux系统上创建一个容器（轻量级虚拟机）并部署和运行应用程序，以及通过配置文件实现应用程序的自动化安装、部署和升级。Docker存在本地拒绝服务漏洞。攻击者可以利用漏洞导致应用程序进入一个无限循环，导致拒绝服务条件。,http://seclists.org/oss-sec/2016/q3/398,目前没有详细解决方案提供：https://www.docker.com/,Null
CNVD-2016-06770,Null,Joyent Smart Data Center 'Docker API'本地权限提升漏洞,2016/8/26,中,Joyent SmartOS 0   ;   ,Joyent Smart Data Center（SDC）是美国Joyent公司的一套开源的云管理平台。Joyent Smart Data Center 'Docker API'存在本地权限提升漏洞。本地攻击者可利用该漏洞以提升的权限执行任意代码。,http://www.securityfocus.com/bid/92416,用户可参考如下供应商提供的安全公告获得补丁信息：http://www.zerodayinitiative.com/advisories/ZDI-16-466/,Joyent Smart Data Center 'Docker API'本地权限提升漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/80780
CNVD-2016-05866,Null,Docker本地拒绝服务漏洞,2016/8/2,低,Docker Swarmkit   ;   ,Docker是美国Docker公司的一款开源的应用容器引擎，它支持在Linux系统上创建一个容器（轻量级虚拟机）并部署和运行应用程序，以及通过配置文件实现应用程序的自动化安装、部署和升级。Docker中存在本地拒绝服务漏洞。本地攻击者可利用该漏洞造成主机挂起，拒绝服务合法用户。,http://www.securityfocus.com/bid/92195,目前厂商暂未发布修复措施解决此安全问题，建议使用此软件的用户随时关注厂商主页或参考网址以获取解决办法：https://github.com/docker/swarmkit,Null
CNVD-2016-03601,Null,Docker UI跨站请求伪造漏洞,2016/5/25,中,Docker UI  0.10.0   ;   ,Docker是一款开源的应用容器引擎。Docker UI存在跨站请求伪造漏洞，攻击者可利用特制恶意url，欺骗已登录用户点击，导致跨站请求伪造攻击。,http://seclists.org/fulldisclosure/2016/Mar/91,目前没有详细的解决方案提供：https://hub.docker.com/r/dockerui/dockerui/,Null
CNVD-2015-03054,Null,Docker /proc/文件写漏洞,2015/5/15,低,Docker Docker   ;   ,Docker 是一个开源的应用容器引擎，让开发者可以打包他们的应用以及依赖包到一个可移植的容器中，然后发布到任何流行的 Linux 机器上，也可以实现虚拟化。Docker处理卷挂接存在安全漏洞，允许本地攻击者覆盖/proc/文件，指定安全模块策略。,http://www.openwall.com/lists/oss-security/2015/05/07/10,用户可参考如下厂商提供的安全补丁以修复该漏洞：http://www.docker.com/,Docker /proc/文件写漏洞的补丁:http://www.cnvd.org.cn/patchInfo/show/58393
